Park,Name,Average_Wait
Cedar Point,Corkscrew,14.0
Cedar Point,Maverick,55.0
Cedar Point,Siren’s Curse,77.0
Cedar Point,Millennium Force,43.0
Cedar Point,Rougarou,17.0
Cedar Point,Gemini,18.0
Cedar Point,Valravn,43.0
Cedar Point,Wild Mouse,29.0
Cedar Point,Magnum XL-200,16.0
Cedar Point,Steel Vengeance,59.0
Cedar Point,Woodstock Express,0.0
Cedar Point,Cedar Creek Mine Ride,15.0
Cedar Point,Top Thrill 2,54.0
Cedar Point,GateKeeper,23.0
Cedar Point,Raptor,31.0
Cedar Point,Iron Dragon,19.0
Cedar Point,Wilderness Run,0.0
Cedar Point,Blue Streak,17.0
Kings Island,Beast,33.0
Kings Island,Woodstock Express,14.0
Kings Island,Snoopy's Soap Box Racers,19.0
Kings Island,Queen City Stunt Coaster,21.0
Kings Island,Diamondback,30.0
Kings Island,Mystic Timbers,28.0
Kings Island,Woodstock’s Air Rail,17.0
Kings Island,Orion,30.0
Kings Island,Racer,8.0
Kings Island,Banshee,23.0
Kings Island,Bat,0.0
Kings Island,Flight of Fear,48.0
Kings Island,Great Pumpkin Coaster,0.0
Kings Island,Invertigo,20.0
Kings Island,Adventure Express,13.0
Carowinds,Snoopy’s Racing Railway,21.0
Carowinds,Wilderness Run,7.0
Carowinds,Afterburn,18.0
Carowinds,Flying Cobras,18.0
Carowinds,Ricochet,21.0
Carowinds,Carolina Cyclone,10.0
Carowinds,Carolina Goldrusher,18.0
Carowinds,Woodstock Express,12.0
Carowinds,Hurler,12.0
Carowinds,Thunder Striker,15.0
Carowinds,Fury 325,23.0
Carowinds,Copperhead Strike,22.0
Carowinds,Kiddy Hawk,17.0
Carowinds,Vortex,14.0
Canada's Wonderland,Yukon Striker,35.0
Canada's Wonderland,Snoopy's Racing Railway,40.0
Canada's Wonderland,Silver Streak,19.0
Canada's Wonderland,Flight Deck,13.0
Canada's Wonderland,Ghoster Coaster,24.0
Canada's Wonderland,Wonder Mountain's Guardian,37.0
Canada's Wonderland,Bat,24.0
Canada's Wonderland,Taxi Jam,15.0
Canada's Wonderland,Dragon Fyre,8.0
Canada's Wonderland,Vortex,29.0
Canada's Wonderland,Thunder Run,23.0
Canada's Wonderland,Leviathan,38.0
Canada's Wonderland,AlpenFury,104.0
Canada's Wonderland,Behemoth,29.0
Canada's Wonderland,Backlot Stunt Coaster,30.0
Canada's Wonderland,Mighty Canadian Minebuster,21.0
Canada's Wonderland,Fly,27.0
Canada's Wonderland,Wilde Beast,13.0
Knott's Berry Farm,Coast Rider,29.0
Knott's Berry Farm,HangTime,39.0
Knott's Berry Farm,GhostRider,79.0
Knott's Berry Farm,Sierra Sidewinder,36.0
Knott's Berry Farm,Pony Express,31.0
Knott's Berry Farm,Jaguar!,33.0
Knott's Berry Farm,Snoopy’s Tenderpaw Twister Coaster,10.0
Knott's Berry Farm,Silver Bullet,28.0
Knott's Berry Farm,Xcelerator,44.0
California's Great America,RailBlazer,37.0
California's Great America,Woodstock Express,0.0
California's Great America,Lucy's Crabbie Cabbies,17.0
California's Great America,Flight Deck,25.0
California's Great America,Patriot,14.0
California's Great America,Gold Striker,29.0
California's Great America,Grizzly,27.0
California's Great America,Demon,20.0
California's Great America,Psycho Mouse,34.0
Kings Dominion,Apple Zapple,12.0
Kings Dominion,Flight of Fear,25.0
Kings Dominion,Dominator,14.0
Kings Dominion,Racer 75,6.0
Kings Dominion,Grizzly,7.0
Kings Dominion,Backlot Stunt Coaster,12.0
Kings Dominion,Great Pumpkin Coaster,0.0
Kings Dominion,Pantherian,20.0
Kings Dominion,Reptilian,15.0
Kings Dominion,Twisted Timbers,21.0
Kings Dominion,Tumbili,15.0
Kings Dominion,Rapterra,27.0
Kings Dominion,Woodstock Express,11.0
Dorney Park,Steel Force,11.0
Dorney Park,Possessed,8.0
Dorney Park,Iron Menace,17.0
Dorney Park,Thunderhawk,10.0
Dorney Park,Woodstock Express,0.0
Dorney Park,Hydra the Revenge,15.0
Dorney Park,Talon,15.0
Dorney Park,Wild Mouse,30.0
Worlds of Fun,Spinning Dragons,38.0
Worlds of Fun,Patriot,28.0
Worlds of Fun,Mamba,24.0
Worlds of Fun,Zambezi Zinger,30.0
Worlds of Fun,Boomerang,16.0
Worlds of Fun,Prowler,15.0
Worlds of Fun,Cosmic Coaster,0.0
Worlds of Fun,Timber Wolf,21.0
Valleyfair,High Roller,18.0
Valleyfair,Excalibur,6.0
Valleyfair,Cosmic Coaster,0.0
Valleyfair,Steel Venom,19.0
Valleyfair,Renegade,18.0
Valleyfair,Wild Thing,18.0
Valleyfair,Corkscrew,13.0
Valleyfair,Mad Mouse,27.0
Michigan's Adventure,Zach's Zoomer,0.0
Michigan's Adventure,Mad Mouse,35.0
Michigan's Adventure,Wolverine Wildcat,26.0
Michigan's Adventure,Corkscrew,0.0
Michigan's Adventure,Shivering Timbers,27.0
Michigan's Adventure,Thunderhawk,22.0
Michigan's Adventure,Woodstock Express,0.0
Six Flags Magic Mountain,Viper,11.0
Six Flags Magic Mountain,Speedy Gonzales Hot Rod Racers,2.0
Six Flags Magic Mountain,Gold Rusher,8.0
Six Flags Magic Mountain,Twisted Colossus,37.0
Six Flags Magic Mountain,Wonder Woman Flight of Courage,32.0
Six Flags Magic Mountain,Riddler's Revenge,18.0
Six Flags Magic Mountain,Batman The Ride,15.0
Six Flags Magic Mountain,Apocalypse the Ride,27.0
Six Flags Magic Mountain,Goliath,30.0
Six Flags Magic Mountain,Road Runner Express,2.0
Six Flags Magic Mountain,Full Throttle,35.0
Six Flags Magic Mountain,Scream!,14.0
Six Flags Magic Mountain,West Coast Racers,41.0
Six Flags Magic Mountain,Canyon Blaster,2.0
Six Flags Magic Mountain,X2,44.0
Six Flags Magic Mountain,New Revolution,25.0
Six Flags Magic Mountain,Tatsu,38.0
Six Flags Magic Mountain,Ninja,19.0
